index	locale	file	status
1	ar	src/uagent/locales/ar/LC_MESSAGES/uag.po	completed
2	bn	src/uagent/locales/bn/LC_MESSAGES/uag.po	completed
3	cs	src/uagent/locales/cs/LC_MESSAGES/uag.po	completed
4	de	src/uagent/locales/de/LC_MESSAGES/uag.po	pending
5	es	src/uagent/locales/es/LC_MESSAGES/uag.po	pending
6	fa	src/uagent/locales/fa/LC_MESSAGES/uag.po	pending
7	fi	src/uagent/locales/fi/LC_MESSAGES/uag.po	pending
8	fr	src/uagent/locales/fr/LC_MESSAGES/uag.po	pending
9	hi	src/uagent/locales/hi/LC_MESSAGES/uag.po	pending
10	id	src/uagent/locales/id/LC_MESSAGES/uag.po	pending
11	it	src/uagent/locales/it/LC_MESSAGES/uag.po	pending
12	ja	src/uagent/locales/ja/LC_MESSAGES/uag.po	pending
13	ko	src/uagent/locales/ko/LC_MESSAGES/uag.po	pending
14	mn	src/uagent/locales/mn/LC_MESSAGES/uag.po	pending
15	mr	src/uagent/locales/mr/LC_MESSAGES/uag.po	pending
16	nb	src/uagent/locales/nb/LC_MESSAGES/uag.po	pending
17	nl	src/uagent/locales/nl/LC_MESSAGES/uag.po	pending
18	pl	src/uagent/locales/pl/LC_MESSAGES/uag.po	pending
19	pt	src/uagent/locales/pt/LC_MESSAGES/uag.po	pending
20	pt_BR	src/uagent/locales/pt_BR/LC_MESSAGES/uag.po	pending
21	ru	src/uagent/locales/ru/LC_MESSAGES/uag.po	pending
22	sv	src/uagent/locales/sv/LC_MESSAGES/uag.po	pending
23	sw	src/uagent/locales/sw/LC_MESSAGES/uag.po	pending
24	th	src/uagent/locales/th/LC_MESSAGES/uag.po	pending
25	tr	src/uagent/locales/tr/LC_MESSAGES/uag.po	pending
26	uk	src/uagent/locales/uk/LC_MESSAGES/uag.po	pending
27	vi	src/uagent/locales/vi/LC_MESSAGES/uag.po	pending
28	zh_CN	src/uagent/locales/zh_CN/LC_MESSAGES/uag.po	pending
29	zh_TW	src/uagent/locales/zh_TW/LC_MESSAGES/uag.po	pending
